value;params_bootstrap;params_criterion;params_max_depth;params_max_features;params_max_leaf_nodes;params_min_samples_leaf;params_min_samples_split;params_n_estimators;scaled;pca
0.985365854;True;log_loss;40;sqrt;356;0.001956405;0.000275092;826;0;0
0.8;True;entropy;43;log2;530;0.145073597;0.000133758;458;0;0
0.897560976;False;gini;81;log2;372;0.000156768;0.037394428;422;0;0
0.868292683;True;gini;53;sqrt;598;0.005141317;0.02049947;546;0;0
0.809756098;False;gini;26;sqrt;629;0.32724728;0.00759982;186;0;0
0.751219512;False;gini;44;;627;0.272168058;0.045436707;437;0;0
0.8;False;entropy;13;sqrt;97;0.066677755;0.00020414;572;0;0
0.853658537;False;gini;99;log2;651;0.003884672;0.065048543;240;0;0
0.804878049;True;gini;13;log2;175;0.186836601;0.00010115;296;0;0
0.8;True;gini;19;log2;512;0.138027942;0.019326536;317;0;0
0.975609756;True;log_loss;86;;220;0.000629928;0.010176191;582;0;0
0.819512195;False;log_loss;99;;514;0.019200604;0.000798044;628;0;0
0.8;False;entropy;68;log2;648;0.077442655;0.000209349;135;0;0
0.804878049;False;gini;46;sqrt;35;0.171323198;0.012747999;331;0;0
0.892682927;False;entropy;63;sqrt;714;0.009800518;0.00012666;951;0;0
0.8;True;gini;16;sqrt;990;0.053255882;0.045250694;811;0;0
0.824390244;False;entropy;77;log2;183;0.007738049;0.196205004;430;0;0
0.985365854;True;gini;72;sqrt;574;0.000325817;0.002173442;404;0;0
0.824390244;True;entropy;67;log2;766;0.00376827;0.086786196;718;0;0
0.775609756;True;gini;37;;3;0.028638758;0.003876864;37;0;0
0.824390244;True;log_loss;61;log2;657;0.015431664;0.069135252;791;0;0
0.751219512;False;entropy;34;;660;0.299966679;0.00029553;282;0;0
0.809756098;False;gini;17;log2;542;0.218722161;0.812035791;795;0;0
0.985365854;False;gini;82;sqrt;935;0.000562181;0.006087058;483;0;0
0.985365854;True;gini;23;sqrt;402;0.000724774;0.000233637;966;0;0
0.985365854;True;gini;76;sqrt;923;0.000166803;0.000264044;813;0;0
0.985365854;True;log_loss;34;sqrt;925;0.00187708;0.001166694;844;0;0
0.819512195;False;entropy;97;log2;336;0.000593973;0.4285398;441;0;0
0.917073171;True;entropy;77;log2;829;0.004573041;0.002672907;766;0;0
0.502439024;True;gini;82;;616;0.001550401;0.930979981;545;0;0
0.868292683;False;gini;83;sqrt;705;0.010894727;0.05327298;390;0;0
0.819512195;False;log_loss;84;sqrt;510;0.000708686;0.699385477;522;0;0
0.887804878;False;entropy;56;log2;597;0.01189177;0.001523851;27;0;0
0.751219512;True;entropy;100;;634;0.188673023;0.058933797;488;0;0
0.907317073;False;entropy;41;;682;0.003348949;0.001898551;620;0;0
0.951219512;False;entropy;45;sqrt;671;0.005365604;0.015040062;861;0;0
0.956097561;False;entropy;87;;485;0.001413171;0.004279292;148;0;0
0.804878049;False;log_loss;83;;400;0.022645888;0.002241362;749;0;0
0.843902439;False;gini;84;log2;969;0.031674078;0.005071751;60;0;0
0.502439024;True;entropy;62;;629;0.130498996;0.931624883;359;0;0
0.931707317;False;gini;9;;787;0.004463091;0.000541658;579;0;0
0.941463415;False;gini;71;log2;154;0.007128833;0.013560785;265;0;0
0.87804878;True;entropy;77;sqrt;517;0.000462313;0.030744802;613;0;0
0.975609756;False;gini;75;;492;0.001620758;0.002659551;856;0;0
0.502439024;True;log_loss;33;sqrt;198;0.001941673;0.713679254;338;0;0
0.873170732;False;gini;10;;692;0.007894413;0.00615989;512;0;0
0.795121951;True;log_loss;14;sqrt;811;0.231582089;0.008859635;812;0;0
0.804878049;True;gini;83;sqrt;890;0.004238499;0.293733165;538;0;0
0.985365854;False;gini;74;;793;0.00104118;0.000172229;216;0;0
0.985365854;False;log_loss;33;log2;825;0.000271983;0.00107077;764;0;0
0.790243902;True;log_loss;64;;25;0.000125489;0.175797732;252;0;0
0.902439024;False;log_loss;69;sqrt;368;0.000241725;0.045592239;180;0;0
0.502439024;True;entropy;12;log2;215;0.397226858;0.259334013;241;0;0
0.926829268;False;log_loss;82;log2;970;0.000885952;0.026008979;763;0;0
0.985365854;True;entropy;49;log2;819;0.000632452;0.000186827;733;0;0
0.819512195;True;gini;28;;426;0.014223313;0.005356074;233;0;0
0.795121951;False;log_loss;35;log2;68;0.429775712;0.005660713;860;0;0
0.897560976;False;log_loss;32;sqrt;392;0.008841461;0.010387141;960;0;0
0.970731707;False;entropy;36;sqrt;265;0.002891627;0.017017779;774;0;0
0.985365854;False;entropy;58;log2;440;0.000190264;0.000823083;937;0;0
0.804878049;True;entropy;24;sqrt;600;0.09658598;0.0002398;359;0;0
0.804878049;True;log_loss;45;log2;146;0.025144706;0.357585344;446;0;0
0.804878049;False;log_loss;25;sqrt;454;0.133392478;0.140832809;352;0;0
0.985365854;True;log_loss;83;sqrt;84;0.001158428;0.001187402;127;0;0
0.985365854;True;gini;95;log2;756;0.001068632;0.001308298;185;0;0
0.809756098;True;entropy;23;;538;0.017428867;0.056246112;169;0;0
0.790243902;True;entropy;85;sqrt;607;0.226631624;0.026528188;693;0;0
0.863414634;False;log_loss;80;sqrt;622;0.001033393;0.055521069;80;0;0
0.985365854;True;entropy;78;log2;146;0.00040551;0.00020905;81;0;0
0.83902439;False;log_loss;8;;550;0.003713292;0.031662296;637;0;0
0.897560976;False;entropy;28;sqrt;951;0.00281541;0.048502529;354;0;0
0.804878049;True;gini;21;sqrt;206;0.087992732;0.000211103;76;0;0
0.985365854;False;entropy;77;log2;945;0.001402524;0.000385467;706;0;0
0.814634146;True;gini;22;sqrt;896;0.00362528;0.523832043;892;0;0
0.8;True;gini;19;log2;307;0.033406201;0.001191985;917;0;0
0.853658537;False;gini;56;sqrt;242;0.000829432;0.096638505;914;0;0
0.985365854;True;entropy;52;log2;157;0.001377358;0.005753158;107;0;0
0.819512195;True;gini;4;log2;44;0.000124381;0.019138203;995;0;0
0.96097561;False;gini;25;sqrt;966;0.001299062;0.015989082;351;0;0
0.843902439;False;log_loss;32;sqrt;608;0.023761101;0.010713437;1000;0;0
0.868292683;True;log_loss;50;log2;599;0.003191057;0.028253692;471;0;0
0.902439024;False;log_loss;6;log2;700;0.000523831;0.004995787;368;0;0
0.926829268;True;log_loss;44;sqrt;174;0.000124938;0.018185178;205;0;0
0.502439024;True;entropy;13;sqrt;626;0.363068175;0.000139928;182;0;0
0.780487805;True;gini;2;;950;0.07495418;0.000572744;136;0;0
0.8;False;log_loss;68;log2;162;0.055325178;0.001254271;711;0;0
0.824390244;False;entropy;77;log2;262;0.002114334;0.296954064;276;0;0
0.897560976;True;gini;97;log2;560;0.005913975;0.001259247;872;0;0
0.868292683;False;entropy;97;log2;964;0.009914343;0.065932313;499;0;0
0.8;False;gini;78;log2;373;0.087066933;0.000287839;625;0;0
0.804878049;False;entropy;78;sqrt;974;0.000168847;0.457850917;683;0;0
0.985365854;False;gini;25;log2;686;0.0035999;0.008183866;882;0;0
0.985365854;False;log_loss;14;sqrt;287;0.001953092;0.00449133;969;0;0
0.502439024;True;log_loss;64;;825;0.341401223;0.000170704;55;0;0
0.985365854;True;gini;90;;539;0.001287872;0.001336634;935;0;0
0.804878049;True;log_loss;14;log2;295;0.001112647;0.307002736;1000;0;0
0.985365854;False;log_loss;33;;964;0.000323069;0.000201381;596;0;0
0.751219512;False;entropy;40;;78;0.004877149;0.741445727;967;0;0
0.985365854;False;gini;58;sqrt;882;0.000110177;0.000186399;278;0;0
0.775609756;False;log_loss;70;log2;939;0.414378131;0.325203931;498;0;0
0.751219512;True;log_loss;73;;363;0.001351923;0.40297609;21;0;0
0.829268293;True;gini;3;log2;50;0.06898107;0.000945146;203;0;0
0.751219512;False;gini;45;;193;0.004929507;0.797855861;427;0;0
0.502439024;True;log_loss;43;sqrt;578;0.465724466;0.098314293;175;0;0
0.804878049;False;log_loss;6;log2;567;0.174883507;0.000111676;938;0;0
0.502439024;True;entropy;12;sqrt;992;0.000156311;0.900061841;96;0;0
0.985365854;False;gini;98;sqrt;988;0.000385085;0.005159725;405;0;0
0.985365854;False;entropy;56;log2;970;0.000209552;0.001055182;737;0;0
0.775609756;True;entropy;8;log2;143;0.239969352;0.003737854;400;0;0
0.751219512;False;entropy;76;;99;0.475752241;0.16317334;106;0;0
0.83902439;True;entropy;92;sqrt;630;0.000383579;0.100460436;168;0;0
0.790243902;True;entropy;67;sqrt;988;0.046200789;0.008234085;746;0;0
0.848780488;False;log_loss;75;sqrt;190;0.022542824;0.002678542;625;0;0
0.673170732;False;entropy;52;;803;0.00019266;0.252151454;631;0;0
0.751219512;True;entropy;51;;60;0.247154903;0.00085561;264;0;0
0.756097561;True;log_loss;24;sqrt;62;0.274459795;0.010699268;54;0;0
0.8;True;gini;54;sqrt;762;0.041177984;0.000751167;572;0;0
0.985365854;False;entropy;88;sqrt;800;0.000590562;0.007738469;692;0;0
0.868292683;True;gini;27;sqrt;997;0.008216979;0.000387572;540;0;0
0.985365854;True;gini;32;sqrt;95;0.000911341;0.009617674;413;0;0
0.819512195;True;gini;38;;256;0.018135652;0.014457519;425;0;0
0.502439024;True;entropy;61;;318;0.499233337;0.000104526;812;0;0
0.892682927;True;gini;47;log2;26;0.000846282;0.00315599;299;0;0
0.87804878;False;log_loss;69;log2;252;0.014291982;0.000373975;615;0;0
0.824390244;False;entropy;89;;995;0.00361155;0.055982956;545;0;0
0.795121951;True;entropy;48;;706;0.000145155;0.141973583;142;0;0
0.819512195;True;entropy;83;sqrt;553;0.078965186;0.20596863;326;0;0
0.956097561;False;log_loss;99;;809;0.001940633;0.001471958;16;0;0
0.956097561;False;log_loss;97;;375;0.002177645;0.00164647;901;0;0
0.780487805;True;entropy;70;;918;0.07981263;0.007070677;717;0;0
0.770731707;True;gini;58;;864;0.083242632;0.000459617;816;0;0
0.985365854;True;entropy;42;sqrt;704;0.002122405;0.001285516;93;0;0
0.985365854;False;log_loss;68;log2;312;0.004277515;0.000110458;319;0;0
0.902439024;False;entropy;19;log2;30;0.00035583;0.000410595;982;0;0
0.985365854;True;entropy;43;log2;760;0.000650085;0.000479005;76;0;0
0.985365854;False;entropy;19;sqrt;236;0.000869413;0.000926573;620;0;0
0.985365854;False;log_loss;46;;827;0.000314956;0.003097719;767;0;0
0.8;False;log_loss;7;sqrt;620;0.019968768;0.433363102;644;0;0
0.843902439;False;gini;29;;650;0.013227751;0.000529423;699;0;0
0.902439024;True;entropy;32;sqrt;66;0.004144217;0.017141778;974;0;0
0.912195122;True;log_loss;6;sqrt;75;0.002104423;0.000788993;119;0;0
0.941463415;True;gini;33;log2;835;0.001068582;0.017755558;60;0;0
0.902439024;False;gini;23;sqrt;274;0.009422266;0.006349134;668;0;0
0.795121951;False;log_loss;90;sqrt;773;0.249567784;0.035835196;453;0;0
0.790243902;False;log_loss;100;log2;314;0.390537112;0.031705275;159;0;0
0.965853659;False;gini;75;sqrt;358;0.004938543;0.001898688;593;0;0
0.970731707;True;entropy;35;;961;0.000625222;0.013004042;64;0;0
0.951219512;True;gini;95;sqrt;429;0.002774326;0.001076936;861;0;0
0.863414634;True;gini;35;log2;94;0.010874001;0.002895504;899;0;0
0.765853659;True;entropy;26;;438;0.146547818;0.000151505;924;0;0
0.751219512;True;entropy;53;;337;0.216368335;0.001706315;662;0;0
0.985365854;True;log_loss;23;log2;410;0.000133749;0.00374018;124;0;0
0.502439024;True;entropy;100;log2;11;0.498740889;0.063431626;907;0;0
0.863414634;True;gini;41;log2;294;0.005468139;0.033649438;538;0;0
0.985365854;False;gini;42;;492;0.000301231;0.000649307;55;0;0
0.829268293;True;log_loss;10;log2;480;0.063451479;0.185952324;294;0;0
0.751219512;True;log_loss;19;;539;0.199754589;0.019165364;89;0;0
0.502439024;True;gini;64;;662;0.028893707;0.673194488;260;0;0
0.795121951;True;gini;8;sqrt;488;0.022273155;0.393357139;20;0;0
0.819512195;True;entropy;78;log2;152;0.119027028;0.000185521;600;0;0
0.502439024;True;log_loss;67;;691;0.466720606;0.003161561;123;0;0
0.975609756;True;log_loss;25;;186;0.00446413;0.000615339;170;0;0
0.819512195;True;log_loss;4;;454;0.000222665;0.015876765;625;0;0
0.824390244;False;gini;26;log2;694;0.023607879;0.425056271;223;0;0
0.829268293;True;log_loss;53;log2;135;0.000687234;0.218769527;677;0;0
0.985365854;False;gini;9;log2;715;0.000269206;0.001415846;959;0;0
0.956097561;True;entropy;61;sqrt;407;0.002613073;0.001111143;921;0;0
0.819512195;True;entropy;99;log2;191;0.203034094;0.000196763;884;0;0
0.814634146;False;gini;77;sqrt;282;0.09715124;0.000929073;80;0;0
0.502439024;True;gini;20;sqrt;36;0.451728819;0.050741966;15;0;0
0.868292683;False;log_loss;40;sqrt;438;0.016029191;0.049323785;475;0;0
0.985365854;False;entropy;97;log2;632;0.000735002;0.002846395;440;0;0
0.926829268;False;log_loss;83;sqrt;906;0.007915625;0.013756864;542;0;0
0.941463415;False;entropy;86;;611;0.0002587;0.011921726;933;0;0
0.926829268;False;entropy;34;log2;36;0.000143394;0.001349882;542;0;0
0.809756098;False;entropy;99;log2;6;0.001055142;0.997233637;951;0;0
0.804878049;True;entropy;41;sqrt;309;0.026905038;0.300765507;81;0;0
0.931707317;True;entropy;40;log2;340;0.004348546;0.000527393;350;0;0
0.736585366;False;gini;14;log2;403;0.435610392;0.017488938;97;0;0
0.985365854;True;log_loss;48;sqrt;608;0.001599224;0.000668989;306;0;0
0.819512195;True;gini;81;sqrt;560;0.073761224;0.025712557;520;0;0
0.917073171;False;gini;67;log2;944;0.000102765;0.027273419;690;0;0
0.985365854;True;entropy;66;log2;574;0.001573434;0.002577009;931;0;0
0.731707317;False;entropy;81;sqrt;946;0.465812221;0.000615319;300;0;0
0.502439024;True;gini;77;;849;0.484861734;0.009616079;361;0;0
0.804878049;False;log_loss;86;log2;989;0.12452812;0.380942514;775;0;0
0.985365854;False;entropy;41;log2;398;0.004549303;0.010227277;681;0;0
0.882926829;False;entropy;57;log2;158;0.014588915;0.000113673;23;0;0
0.795121951;False;gini;48;log2;217;0.204684163;0.000199882;813;0;0
0.892682927;False;log_loss;99;sqrt;54;0.010467722;0.000761425;439;0;0
0.824390244;True;gini;59;log2;435;0.000682961;0.078229404;476;0;0
0.751219512;False;gini;61;;266;0.06981711;0.762510475;728;0;0
0.92195122;False;gini;61;;405;0.00311229;0.018667933;295;0;0
0.985365854;False;entropy;15;log2;467;0.003578038;0.001636509;128;0;0
0.985365854;True;log_loss;21;log2;911;0.000254804;0.000140178;550;0;0
0.985365854;False;log_loss;46;log2;643;0.000242258;0.000226627;526;0;0
0.804878049;False;gini;1;log2;698;0.000144188;0.002232929;929;0;0
0.829268293;False;entropy;46;log2;565;0.011224773;0.177558847;630;0;0
0.502439024;True;gini;75;;634;0.33713543;0.877573763;310;0;0
0.809756098;True;entropy;69;log2;753;0.053851422;0.169364081;290;0;0
0.985365854;True;log_loss;19;sqrt;435;0.000916959;0.00236681;66;0;0
0.907317073;False;entropy;54;;239;0.002954232;0.002762024;107;0;0
0.814634146;False;log_loss;6;sqrt;771;0.082776107;0.008192849;587;0;0
0.848780488;True;gini;62;log2;137;0.003705216;0.048360645;852;0;0
0.83902439;True;entropy;57;sqrt;898;0.015620335;0.024985281;200;0;0
0.775609756;True;log_loss;94;sqrt;975;0.2679521;0.00726414;313;0;0
0.751219512;True;entropy;53;;70;0.276804995;0.000889751;903;0;0
0.790243902;False;log_loss;76;sqrt;3;0.001725191;0.012172437;710;0;0
0.970731707;True;gini;94;sqrt;614;0.001322494;0.001605426;631;0;0
0.775609756;True;gini;7;;318;0.091583714;0.0700067;284;0;0
0.780487805;True;log_loss;10;;606;0.062064539;0.026561967;240;0;0
0.790243902;True;log_loss;14;;82;0.003642052;0.148606251;714;0;0
0.8;False;gini;18;sqrt;312;0.008659692;0.581078009;812;0;0
0.819512195;False;entropy;22;sqrt;875;0.007210213;0.279299847;96;0;0
0.902439024;True;entropy;33;log2;511;0.006987214;0.012086738;364;0;0
0.502439024;True;log_loss;77;sqrt;380;0.011059283;0.691087828;412;0;0
0.814634146;False;log_loss;15;sqrt;665;0.028088538;0.261064966;51;0;0
0.843902439;False;gini;18;;159;0.01810347;0.005319306;935;0;0
0.868292683;True;entropy;65;sqrt;780;0.000200599;0.044589446;156;0;0
0.712195122;False;entropy;64;;544;0.187019038;0.008014687;733;0;0
0.970731707;True;entropy;42;log2;54;0.001364114;0.002914482;935;0;0
0.785365854;False;log_loss;37;log2;858;0.243119817;0.018331057;528;0;0
0.985365854;False;log_loss;26;log2;382;0.001065375;0.000394232;503;0;0
0.824390244;False;gini;26;log2;579;0.00046412;0.570144677;265;0;0
0.985365854;False;gini;22;sqrt;629;0.001290541;0.001738959;764;0;0
0.795121951;False;entropy;80;log2;869;0.044375278;0.000144607;660;0;0
0.863414634;True;log_loss;40;sqrt;359;0.008633182;0.021621856;740;0;0
0.775609756;True;log_loss;16;sqrt;600;0.232789686;0.000177969;496;0;0
0.765853659;True;gini;49;;317;0.064994178;0.054338983;747;0;0
0.829268293;False;entropy;38;sqrt;114;0.003618185;0.153627323;297;0;0
0.785365854;True;log_loss;25;;419;0.101461826;0.079660384;230;0;0
0.931707317;False;entropy;16;sqrt;466;0.000270526;0.02691648;210;0;0
0.804878049;False;log_loss;93;sqrt;849;0.122966983;0.013650635;280;0;0
0.819512195;True;entropy;2;log2;368;0.006283655;0.005395319;939;0;0
0.8;False;gini;98;log2;979;0.052476478;0.005114147;564;0;0
0.941463415;True;entropy;43;;656;0.000605241;0.01837267;903;0;0
0.819512195;True;log_loss;85;sqrt;12;0.000370818;0.356321112;818;0;0
0.897560976;False;gini;73;sqrt;491;0.008748598;0.000187887;478;0;0
0.804878049;False;log_loss;19;log2;537;0.162396474;0.016643789;494;0;0
0.809756098;True;gini;7;sqrt;651;0.03218153;0.139769035;391;0;0
0.775609756;True;entropy;55;sqrt;601;0.230686236;0.000212315;346;0;0
0.985365854;True;entropy;81;log2;88;0.000130579;0.006906936;129;0;0
0.804878049;False;gini;65;;275;0.000100286;0.057758699;551;0;0
0.985365854;True;gini;83;sqrt;116;0.002398292;0.003853031;515;0;0
0.809756098;False;gini;81;sqrt;720;0.021722968;0.739471951;777;0;0
0.795121951;False;gini;45;sqrt;291;0.104429504;0.000124706;691;0;0
0.985365854;False;gini;96;sqrt;724;0.000452897;0.000225622;195;0;0
0.834146341;True;entropy;30;log2;335;0.00573316;0.074152351;867;0;0
0.951219512;False;gini;19;sqrt;838;0.000302037;0.0204821;495;0;0
0.829268293;False;entropy;12;sqrt;275;0.003314488;0.280542737;201;0;0
0.902439024;True;log_loss;91;sqrt;629;0.000212296;0.025536263;939;0;0
0.985365854;True;entropy;44;;320;0.001048904;0.000100551;975;0;0
0.804878049;False;entropy;23;sqrt;65;0.033319812;0.015669863;78;0;0
0.790243902;True;entropy;68;;784;0.003825687;0.171185617;548;0;0
0.853658537;False;log_loss;78;sqrt;763;0.0050291;0.082633768;184;0;0
0.843902439;False;gini;40;;714;0.00039968;0.026371637;305;0;0
0.83902439;False;entropy;67;log2;843;0.026931207;0.000216157;347;0;0
0.502439024;True;entropy;42;sqrt;215;0.023382086;0.81519577;500;0;0
0.83902439;False;entropy;58;;118;0.01752558;0.001003545;637;0;0
0.92195122;True;gini;91;;58;0.005521943;0.002650862;440;0;0
0.985365854;False;log_loss;27;;833;0.000546276;0.000364554;230;0;0
0.819512195;True;log_loss;2;log2;302;0.002476473;0.001291541;848;0;0
0.819512195;True;gini;27;sqrt;919;0.098599239;0.001467765;227;0;0
0.985365854;True;entropy;14;log2;55;0.00015521;0.000475637;805;0;0
0.502439024;True;log_loss;53;log2;780;0.393264552;0.009045266;662;0;0
0.741463415;False;log_loss;48;;748;0.076875231;0.027873853;765;0;0
0.985365854;False;gini;21;sqrt;352;0.000651494;0.000383566;215;0;0
0.804878049;False;log_loss;85;sqrt;298;0.276185593;0.058241175;975;0;0
0.726829268;False;gini;17;sqrt;701;0.471410346;0.906702251;220;0;0
0.751219512;False;entropy;53;;975;0.005134519;0.634954537;193;0;0
0.83902439;True;entropy;4;log2;661;0.001822;0.005523541;551;0;0
0.819512195;True;gini;14;log2;991;0.015928823;0.095239322;683;0;0
0.985365854;False;gini;77;log2;319;0.000116051;0.003462282;67;0;0
0.814634146;True;entropy;1;log2;840;0.126907463;0.007341472;334;0;0
0.848780488;False;gini;83;sqrt;853;0.025772981;0.001778888;240;0;0
0.980487805;False;gini;8;sqrt;61;0.00014117;0.001081049;164;0;0
0.795121951;True;log_loss;3;sqrt;455;0.049110163;0.004419374;744;0;0
0.824390244;True;log_loss;75;sqrt;932;0.00299332;0.148638626;452;0;0
0.809756098;False;log_loss;2;sqrt;7;0.00763744;0.03443705;697;0;0
0.985365854;True;gini;80;;48;0.000394469;0.000210143;744;0;0
0.804878049;True;entropy;24;sqrt;639;0.138607262;0.000165561;704;0;0
0.858536585;True;entropy;74;;190;0.00428965;0.037883585;690;0;0
0.985365854;True;log_loss;43;log2;944;0.000673502;0.000203328;329;0;0
0.985365854;False;log_loss;89;sqrt;523;0.000546904;0.000906549;736;0;0
0.824390244;False;gini;68;sqrt;446;0.007670737;0.776056279;472;0;0
0.985365854;False;gini;88;log2;473;0.000213322;0.001640946;912;0;0
0.970731707;False;entropy;40;log2;46;0.000218715;0.000316296;456;0;0
0.502439024;True;entropy;19;sqrt;114;0.000654517;0.689827935;697;0;0
0.814634146;True;entropy;14;;808;0.000916727;0.056323238;896;0;0
0.902439024;False;gini;74;;285;0.00541481;0.000131732;198;0;0
0.819512195;True;gini;80;sqrt;44;0.144043638;0.000948995;186;0;0
0.770731707;False;gini;6;;882;0.056824582;0.00468901;439;0;0
0.843902439;True;log_loss;70;log2;653;0.000181332;0.069846651;248;0;0
0.985365854;True;gini;94;;246;0.000280128;0.000250741;447;0;0
0.819512195;False;gini;22;sqrt;438;0.019801199;0.22410286;697;0;0
0.790243902;True;log_loss;7;;855;0.029323379;0.019892851;374;0;0
0.926829268;False;entropy;20;sqrt;118;0.001997002;0.027131063;990;0;0
0.985365854;True;gini;55;log2;386;0.000290992;0.003010076;90;0;0
0.858536585;True;log_loss;14;log2;248;0.001059255;0.049036141;785;0;0
0.67804878;False;log_loss;55;;569;0.001520868;0.441295713;586;0;0
0.985365854;False;log_loss;60;log2;159;0.000500633;0.001060061;201;0;0
0.814634146;True;entropy;53;log2;742;0.002518296;0.129212379;942;0;0
0.931707317;True;entropy;14;log2;242;0.004520911;0.006127913;233;0;0
0.824390244;False;gini;63;sqrt;944;0.00077555;0.537764203;487;0;0
0.887804878;True;entropy;95;log2;540;0.008104638;0.010202878;394;0;0
0.502439024;True;log_loss;40;log2;622;0.000151385;0.95743818;305;0;0
0.892682927;False;entropy;51;;907;0.004882645;0.004696188;885;0;0
0.746341463;True;log_loss;3;sqrt;249;0.270454152;0.004275932;420;0;0
0.804878049;False;log_loss;66;log2;248;0.005849389;0.858278888;914;0;0
0.775609756;False;gini;90;log2;460;0.37492144;0.571439171;318;0;0
0.8;False;log_loss;25;sqrt;88;0.063767728;0.002382224;758;0;0
0.809756098;True;log_loss;78;log2;913;0.109093624;0.000196491;510;0;0
0.502439024;True;gini;100;;356;0.366227404;0.001839495;710;0;0
0.902439024;False;log_loss;37;;282;0.007959235;0.000311804;56;0;0
0.751219512;False;gini;5;;831;0.049471873;0.900850857;970;0;0
0.72195122;True;log_loss;20;log2;374;0.300106044;0.000505676;571;0;0
0.985365854;False;entropy;63;log2;766;0.003590148;0.002790124;80;0;0
0.834146341;True;gini;55;;175;0.004603921;0.037644741;120;0;0
0.848780488;False;entropy;76;;86;0.012175021;0.002533667;882;0;0
0.83902439;True;entropy;44;sqrt;19;0.005598669;0.055898155;957;0;0
0.907317073;False;log_loss;56;sqrt;470;0.000534279;0.038617686;588;0;0
0.502439024;True;gini;6;;738;0.425501862;0.000435192;461;0;0
0.863414634;False;entropy;26;;129;0.001294828;0.030303859;433;0;0
0.67804878;False;log_loss;17;;859;0.000484579;0.320024779;715;0;0
0.804878049;False;gini;58;log2;715;0.067304422;0.000990763;504;0;0
0.897560976;False;log_loss;81;log2;43;0.009662458;0.009709705;160;0;0
